#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
1on1gov;1 on 1 Government (Japan);mame;;2000;Tecmo;Sports / Basketball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;TPS;;3;;;0;;1
openice;2 On 2 Open Ice Challenge (rev 1.21);mame;;1995;Midway;Sports / Hockey;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
aafb;All American Football (rev E);mame;;1989;Leland Corporation;Sports / Football;4P sim;270;joystick (8-way),joystick (analog),joystick (8-way),joystick (8-way),joystick (analog),joystick (8-way);good;1;raster;;;;1;;;0;;1
arabfgt;Arabian Fight (World);mame;;1991;Sega;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);mame;;1992;Taito Corporation Japan;Fighter / 2.5D;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
soccer;Atari Soccer;mame;;1980;Atari;Sports / Soccer;4P sim;0;trackball,trackball,trackball,trackball;good;1;raster;;;;2;;;0;;1
bssoccer;Back Street Soccer (KRB-0031 PCB);mame;;1996;SunA (Unico license);Sports / Soccer;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
barricad;Barricade;mame;;1976;Ramtek;Maze / Surround;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;0;;;0;;1
batcir;Battle Circuit (Euro 970319);mame;;1997;Capcom;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
blzntrnd;Blazing Tornado;mame;;1994;Human Amusement;Sports / Wrestling;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
bbmanw;Bomber Man World / New Dyna Blaster - Global Quest;mame;;1992;Irem;Maze / Collect;4P sim;0;joystick (4-way),joystick (4-way),joystick (4-way),joystick (4-way);good;1;raster;;;;2;;;0;;1
