#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
64streetj;64th. Street - A Detective Story (Japan, set 1);mame;64street;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;64street;64th. Street - A Detective Story (World);;2;;;0;;1
64streetja;64th. Street - A Detective Story (Japan, set 2);mame;64street;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;64street;64th. Street - A Detective Story (World);;2;;;0;;1
64street;64th. Street - A Detective Story (World);mame;;1991;Jaleco;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
aoh;Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07);mame;;2001;Unico;Fighter / 2.5D;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008);mame;;1994;ADK / SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
ausfache;Akatsuki Blitzkampf Ausf. Achse (Japan);mame;;2008;Subtle Style;Fighter / Versus;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;naomi;NAOMI BIOS;;6;;;0;;1
alienchac;Alien Challenge (China);mame;aliencha;1994;IGS;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;aliencha;Alien Challenge (World);;6;;;0;;1
aliencha;Alien Challenge (World);mame;;1994;IGS;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;0;;1
avspa;Alien vs. Predator (Asia 940520);mame;avsp;1994;Capcom;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;avsp;Alien vs. Predator (Euro 940520);;3;;;0;;1
avspd;Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg);mame;avsp;1994;bootleg;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;avsp;Alien vs. Predator (Euro 940520);;3;;;0;;1
avsp;Alien vs. Predator (Euro 940520);mame;;1994;Capcom;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
avsph;Alien vs. Predator (Hispanic 940520);mame;avsp;1994;Capcom;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;avsp;Alien vs. Predator (Euro 940520);;3;;;0;;1
avspj;Alien vs. Predator (Japan 940520);mame;avsp;1994;Capcom;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;avsp;Alien vs. Predator (Euro 940520);;3;;;0;;1
avspu;Alien vs. Predator (USA 940520);mame;avsp;1994;Capcom;Fighter / 2.5D;3P sim;0;joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;avsp;Alien vs. Predator (Euro 940520);;3;;;0;;1
kovshxas;Aoshi Sanguo (bootleg of Knights of Valour Super Heroes Plus, V202CN, Oct 6 2008 09:59:26);mame;kovshp;2008;bootleg;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;kovshp;Knights of Valour Super Heroes Plus / Sanguo Zhan Ji Luanshi Xiaoxiong (ver. 101);;4;;;0;;1
arabfgtj;Arabian Fight (Japan);mame;arabfgt;1991;Sega;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;arabfgt;Arabian Fight (World);;2;;;0;;1
arabfgtu;Arabian Fight (US);mame;arabfgt;1991;Sega;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;arabfgt;Arabian Fight (World);;2;;;0;;1
arabfgt;Arabian Fight (World);mame;;1991;Sega;Fighter / 2.5D;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;2;;;0;;1
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);mame;arabianm;1992;Taito America Corporation;Fighter / 2.5D;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;arabianm;Arabian Magic (Ver 1.0O 1992/07/06);;4;;;0;;1
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);mame;arabianm;1992;Taito Corporation;Fighter / 2.5D;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;arabianm;Arabian Magic (Ver 1.0O 1992/07/06);;4;;;0;;1
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);mame;;1992;Taito Corporation Japan;Fighter / 2.5D;4P sim;0;joystick (8-way),dial,joystick (8-way),dial,joystick (8-way),joystick (8-way);imperfect;1;raster;;;;4;;;0;;1
acheart;Arcana Heart;mame;;2005;Examu;Fighter / Versus;2P sim;0;;preliminary;1;raster;;;;0;;;0;;1
acheartf;Arcana Heart Full;mame;;2006;Examu;Fighter / Versus;1;0;;preliminary;1;raster;;;;0;;;0;;1
