#Romname;Title;Emulator;Cloneof;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Favourite;Tags;PlayedCount;PlayedTime;FileIsAvailable
88games;'88 Games;mame;;1988;Konami;Sports / Track & Field;4P alt / 2P sim;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;;3;;;0;;1
flagrall;'96 Flag Rally;mame;;1996;Promat?;Maze / Driving;1P;0;joystick (8-way);good;1;raster;;;;2;;;0;;1
99lstwarb;'99: The Last War (bootleg);mame;repulse;1985;bootleg;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);imperfect;1;raster;repulse;Repulse;;2;;;0;;1
99lstwark;'99: The Last War (Kyugo);mame;repulse;1985;Crux / Kyugo;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;Repulse;;2;;;0;;1
99lstwar;'99: The Last War (set 1);mame;repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;Repulse;;2;;;0;;1
99lstwara;'99: The Last War (set 2);mame;repulse;1985;Crux / Proma;Shooter / Gallery;2P alt;90;joystick (8-way),joystick (8-way);good;1;raster;repulse;Repulse;;2;;;0;;1
005;005;mame;;1981;Sega;Maze / Shooter Small;2P alt;270;joystick (4-way),joystick (4-way);imperfect;1;raster;;;;1;;;0;;1
1on1gov;1 on 1 Government (Japan);mame;;2000;Tecmo;Sports / Basketball;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;TPS;;3;;;0;;1
coh1002m;TPS;mame;;1997;Tecmo;System / BIOS;BIOS;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;;3;;;0;;1
10yard85;10-Yard Fight '85 (US, Taito license);mame;10yard;1985;Irem (Taito license);Sports / Football;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;10yard;10-Yard Fight (World, set 1);;2;;;0;;1
10yardj;10-Yard Fight (Japan);mame;10yard;1983;Irem;Sports / Football;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;10yard;10-Yard Fight (World, set 1);;2;;;0;;1
10yard;10-Yard Fight (World, set 1);mame;;1983;Irem;Sports / Football;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
gtmro;1000 Miglia: Great 1000 Miles Rally (94/05/10);mame;gtmr;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);;2;;;0;;1
gtmrb;1000 Miglia: Great 1000 Miles Rally (94/05/26);mame;gtmr;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);;2;;;0;;1
gtmra;1000 Miglia: Great 1000 Miles Rally (94/06/13);mame;gtmr;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);;2;;;0;;1
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);mame;;1994;Kaneko;Driving / Race;2P alt;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;;;;2;;;0;;1
cprogolf18;18 Challenge Pro Golf (DECO Cassette) (Japan);mame;cprogolf;1982;Data East Corporation;Sports / Golf;2P alt;270;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;cprogolf;Tournament Pro Golf (DECO Cassette) (US);;2;;;0;;1
decocass;DECO Cassette System;mame;;1981;Data East Corporation;System / BIOS;BIOS;270;joystick (8-way),joystick (analog),joystick (8-way),joystick (analog);good;1;raster;;;;2;;;0;;1
progolf;18 Holes Pro Golf (set 1);mame;;1981;Data East Corporation;Sports / Golf;2P alt;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;;1;;;0;;1
progolfa;18 Holes Pro Golf (set 2);mame;progolf;1981;Data East Corporation;Sports / Golf;2P alt;270;joystick (8-way),joystick (8-way);preliminary;1;raster;progolf;18 Holes Pro Golf (set 1);;1;;;0;;1
18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);mame;;2000;Sega;Driving / Truck Guide;1P;0;paddle,pedal;preliminary;1;raster;naomi;NAOMI BIOS;;5;;;0;;1
naomi;NAOMI BIOS;mame;;1998;Sega;System / BIOS;BIOS;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;6;;;0;;1
mie;Sega 315-6146 MIE;mame;;;;System / Device;Device;0;;good;0;;;;;0;;;0;;1
jvs13551;Sega 837-13551 I/O Board;mame;;;;System / Device;Device;0;;good;0;;;;;0;;;0;;1
18wheelrt;18 Wheeler: American Pro Trucker (deluxe, Rev T);mame;18wheelr;2000;Sega;Driving / Truck Guide;1P;0;paddle,pedal;preliminary;1;raster;18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);;5;;;0;;1
18wheelro;18 Wheeler: American Pro Trucker (deluxe);mame;18wheelr;2000;Sega;Driving / Truck Guide;1P;0;paddle,pedal;preliminary;1;raster;18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);;5;;;0;;1
18wheels;18 Wheeler: American Pro Trucker (standard);mame;18wheelr;2000;Sega;Driving / Truck Guide;1P;0;paddle,pedal;preliminary;1;raster;18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);;5;;;0;;1
18wheelu;18 Wheeler: American Pro Trucker (upright);mame;18wheelr;2000;Sega;Driving / Truck Guide;1P;0;paddle,pedal;preliminary;1;raster;18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);;5;;;0;;1
19in1;19 in 1 MAME bootleg (BAR-V000);mame;39in1;2004;bootleg;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);preliminary;1;raster;39in1;39 in 1 MAME bootleg (GNO-V000);;3;;;0;;1
1941j;1941: Counter Attack (Japan);mame;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1941;1941: Counter Attack (World 900227);;2;;;0;;1
1941u;1941: Counter Attack (USA 900227);mame;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1941;1941: Counter Attack (World 900227);;2;;;0;;1
1941;1941: Counter Attack (World 900227);mame;;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
1941r1;1941: Counter Attack (World);mame;1941;1990;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1941;1941: Counter Attack (World 900227);;2;;;0;;1
1942b;1942 (First Version);mame;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);good;1;raster;1942;1942 (Revision B);;2;;;0;;1
pc_1942;1942 (PlayChoice-10);mame;;1987;Capcom;Shooter / Flying Vertical;2P alt;0;joystick (8-way),joystick (8-way);good;2;raster;playch10;PlayChoice-10 BIOS;;2;;;0;;1
playch10;PlayChoice-10 BIOS;mame;;1986;Nintendo of America;System / BIOS;BIOS;0;joystick (8-way),joystick (8-way);good;2;raster;;;;2;;;0;;1
1942abl;1942 (Revision A, bootleg);mame;1942;1984;bootleg;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);good;1;raster;1942;1942 (Revision B);;2;;;0;;1
1942a;1942 (Revision A);mame;1942;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);good;1;raster;1942;1942 (Revision B);;2;;;0;;1
1942;1942 (Revision B);mame;;1984;Capcom;Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
1942p;1942 (Tecfri PCB, bootleg?);mame;1942;1984;bootleg;Shooter / Flying Vertical;2P alt;270;joystick (8-way);good;1;raster;1942;1942 (Revision B);;2;;;0;;1
1942w;1942 (Williams Electronics license);mame;1942;1985;Capcom (Williams Electronics license);Shooter / Flying Vertical;2P alt;270;joystick (8-way),joystick (8-way);good;1;raster;1942;1942 (Revision B);;2;;;0;;1
1943kai;1943 Kai: Midway Kaisen (Japan);mame;;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
1943b;1943: Battle of Midway (bootleg, hack of Japan set);mame;1943;1987;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943bj;1943: Midway Kaisen (bootleg);mame;1943;1987;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943jah;1943: Midway Kaisen (Japan, no protection hack);mame;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943j;1943: Midway Kaisen (Japan, Rev B);mame;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943ja;1943: Midway Kaisen (Japan);mame;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943;1943: The Battle of Midway (Euro);mame;;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
1943u;1943: The Battle of Midway (US, Rev C);mame;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943ua;1943: The Battle of Midway (US);mame;1943;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1943;1943: The Battle of Midway (Euro);;2;;;0;;1
1943mii;1943: The Battle of Midway Mark II (US);mame;;1987;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
1944;1944: The Loop Master (Euro 000620);mame;;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
qsound_hle;QSound (HLE);mame;;;;System / Device;Device;0;;good;0;;;;;0;;;0;;1
1944j;1944: The Loop Master (Japan 000620);mame;1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;1944;1944: The Loop Master (Euro 000620);;2;;;0;;1
1944d;1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg);mame;1944;2000;bootleg;Shooter / Flying Vertical;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;1944;1944: The Loop Master (Euro 000620);;2;;;0;;1
1944u;1944: The Loop Master (USA 000620);mame;1944;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;1944;1944: The Loop Master (Euro 000620);;2;;;0;;1
bgareggabl;1945 Part-2 (Chinese hack of Battle Garegga);mame;bgaregga;1996;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;bgaregga;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);;3;;;0;;1
1945kiiin;1945k III (newer, OPCX1 PCB);mame;1945kiii;2000;Oriental Soft;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1945kiii;1945k III (newer, OPCX2 PCB);;4;;;0;;1
1945kiii;1945k III (newer, OPCX2 PCB);mame;;2000;Oriental Soft;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;4;;;0;;1
1945kiiio;1945k III (older, OPCX1 PCB);mame;1945kiii;1999;Oriental Soft;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;1945kiii;1945k III (newer, OPCX2 PCB);;4;;;0;;1
spikes91;1991 Spikes (Italian bootleg, set 1);mame;pspikes;1991;bootleg;Sports / Volleyball;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;pspikes;Power Spikes (World);;3;;;0;;1
spikes91b;1991 Spikes (Italian bootleg, set 2);mame;pspikes;1991;bootleg;Sports / Volleyball;2P sim;0;joystick (8-way),joystick (8-way);imperfect;1;raster;pspikes;Power Spikes (World);;3;;;0;;1
19xxar1;19XX: The War Against Destiny (Asia 951207);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxa;19XX: The War Against Destiny (Asia 960104);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxb;19XX: The War Against Destiny (Brazil 951218);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xx;19XX: The War Against Destiny (Euro 960104);mame;;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;0;;1
19xxh;19XX: The War Against Destiny (Hispanic 951218);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxjr2;19XX: The War Against Destiny (Japan 951207);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxjr1;19XX: The War Against Destiny (Japan 951225);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxj;19XX: The War Against Destiny (Japan 960104, yellow case);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxd;19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg);mame;19xx;1996;bootleg;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
19xxu;19XX: The War Against Destiny (USA 951207);mame;19xx;1996;Capcom;Shooter / Flying Vertical;2P sim;270;joystick (8-way),joystick (8-way);good;1;raster;19xx;19XX: The War Against Destiny (Euro 960104);;2;;;0;;1
openice;2 On 2 Open Ice Challenge (rev 1.21);mame;;1995;Midway;Sports / Hockey;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;;;;3;;;0;;1
openicea;2 On 2 Open Ice Challenge (rev 1.2A);mame;openice;1995;Midway;Sports / Hockey;4P sim;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);good;1;raster;openice;2 On 2 Open Ice Challenge (rev 1.21);;3;;;0;;1
2020bb;2020 Super Baseball (set 1);mame;;1991;SNK / Pallas;Sports / Baseball;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;Neo-Geo MV-6F;;4;;;0;;1
